ADT-HURSAT SID ,ALT SID IBTrACS,ATCF ID   ,Names and sources in IBTrACS
1980177N13259  ,               ,bep031980 ,CELIA[hurdat_epa] = bep031980[jtwc_ep] = UNNAMED[td9636] = bep031980[atcf] = CELIA[ds824]
1980183N13250  ,               ,bep041980 ,DARBY[hurdat_epa] = bep041980[jtwc_ep] = UNNAMED[td9636] = bep041980[atcf] = DARBY[ds824]
1980194N16252  ,               ,bep051980 ,ESTELLE[hurdat_epa] = bep051980[jtwc_ep] = UNNAMED[td9636] = bep051980[atcf] = ESTELLE[ds824]
1980197N07154  ,               ,bwp091980 ,bwp091980[jtwc_wp] = JOE[tokyo] = JOE[cma] = JOE[hko] = UNNAMED[td9636] = JOE[ds824]
1980199N31284  ,               ,bal011980 ,UNNAMED[hurdat_atl] = bal011980[atcf]
1980200N13249  ,               ,bep061980 ,FRANK[hurdat_epa] = bep061980[jtwc_ep] = UNNAMED[td9636] = bep061980[atcf] = FRANK[ds824]
1980200N25270  ,               ,bal021980 ,UNNAMED[hurdat_atl] = bal021980[atcf]
1980201N08155  ,               ,bwp111980 ,bwp111980[jtwc_wp] = KIM[tokyo] = KIM[cma] = KIM[hko] = UNNAMED[td9636] = KIM[ds824]
1980204N23287  ,               ,bal031980 ,UNNAMED[hurdat_atl] = bal031980[atcf]
1980208N23153  ,               ,bwp121980 ,bwp121980[jtwc_wp] = LEX[tokyo] = LEX[cma] = LEX[hko] = UNNAMED[td9636] = LEX[ds824]
1980210N17251  ,               ,bep071980 ,GEORGETTE[hurdat_epa] = bep071980[jtwc_ep] = UNNAMED[td9636] = bep071980[atcf] = GEORGETTE[ds824]
1980213N11256  ,               ,bep081980 ,HOWARD[hurdat_epa] = bep081980[jtwc_ep] = UNNAMED[td9636] = bep081980[atcf] = HOWARD[ds824]
1980214N11330  ,               ,bal041980 ,ALLEN[hurdat_atl] = bal041980[atcf]
1980219N15165  ,               ,bwp131980 ,bwp131980[jtwc_wp] = MARGE[tokyo] = MARGE[cma] = MARGE[hko] = UNNAMED[td9636] = MARGE[ds824]
1980219N15258  ,               ,bep091980 ,ISIS[hurdat_epa] = bep091980[jtwc_ep] = UNNAMED[td9636] = bep091980[atcf] = ISIS[ds824]
1980226N15339  ,               ,bal051980 ,UNNAMED[hurdat_atl] = bal051980[atcf]
1980227N13325  ,               ,bal061980 ,BONNIE[hurdat_atl] = bal061980[atcf]
1980234N36287  ,               ,bal071980 ,CHARLEY[hurdat_atl] = bal071980[atcf]
1980236N13255  ,               ,bep101980 ,JAVIER[hurdat_epa] = bep101980[jtwc_ep] = UNNAMED[td9636] = bep101980[atcf] = JAVIER[ds824]
1980238N16328  ,               ,bal081980 ,UNNAMED[hurdat_atl] = bal081980[atcf]
1980245N16322  ,               ,bal091980 ,GEORGES[hurdat_atl] = bal091980[atcf]
1980249N18336  ,               ,bal101980 ,EARL[hurdat_atl] = bal101980[atcf]
1980249N28269  ,               ,bal111980 ,DANIELLE[hurdat_atl] = bal111980[atcf]
1980250N13341  ,               ,bal121980 ,FRANCES[hurdat_atl] = bal121980[atcf]
1980256N10154  ,               ,bwp201980 ,bwp201980[jtwc_wp] = SPERRY[tokyo] = SPERRY[cma] = SPERRY[hko] = UNNAMED[td9636] = SPERRY[ds824]
1980260N13256  ,               ,bep111980 ,KAY[hurdat_epa] = bep111980[jtwc_ep] = KAY[cphc] = UNNAMED[td9636] = bep111980[atcf] = KAY[ds824]
1980265N15283  ,               ,bal131980 ,HERMINE[hurdat_atl] = bal131980[atcf]
1980266N16257  ,               ,bep121980 ,LESTER[hurdat_epa] = bep121980[jtwc_ep] = UNNAMED[td9636] = bep121980[atcf] = LESTER[ds824]
1980269N15147  ,               ,bwp211980 ,bwp211980[jtwc_wp] = THELMA[tokyo] = THELMA[cma] = THELMA[hko] = UNNAMED[td9636] = THELMA[ds824]
1980270N13165  ,               ,bwp221980 ,bwp221980[jtwc_wp] = VERNON[tokyo] = VERNON[cma] = VERNON[hko] = UNNAMED[td9636] = VERNON[ds824]
1980275N34340  ,               ,bal141980 ,IVAN[hurdat_atl] = bal141980[atcf]
1980277N09157  ,               ,bwp231980 ,bwp231980[jtwc_wp] = WYNNE[tokyo] = WYNNE[cma] = WYNNE[hko] = UNNAMED[td9636] = WYNNE[ds824]
1980282N19162  ,               ,bwp241980 ,bwp241980[jtwc_wp] = ALEX[tokyo] = ALEX[cma] = ALEX[hko] = UNNAMED[td9636] = ALEX[ds824]
1980285N13252  ,               ,bep131980 ,MADELINE[hurdat_epa] = bep131980[jtwc_ep] = UNNAMED[td9636] = bep131980[atcf] = MADELINE[ds824]
1980290N16275  ,               ,bal151980 ,UNNAMED[hurdat_atl] = bal151980[atcf]
1980296N05165  ,               ,bwp251980 ,bwp251980[jtwc_wp] = BETTY[tokyo] = BETTY[cma] = BETTY[hko] = UNNAMED[td9636] = BETTY[ds824]
1980302N17250  ,               ,bep141980 ,NEWTON[hurdat_epa] = bep141980[jtwc_ep] = UNNAMED[td9636] = bep141980[atcf] = NEWTON[ds824]
1980313N14277  ,               ,bal161980 ,JEANNE[hurdat_atl] = bal161980[atcf]
1980318N13280  ,               ,bal171980 ,UNNAMED[hurdat_atl] = bal171980[atcf]
1980323N04180  ,               ,bwp271980 ,bwp271980[jtwc_wp] = DINAH[tokyo] = DINAH[cma] = DINAH[hko] = UNNAMED[td9636] = DINAH[ds824]
1980330N36314  ,               ,bal181980 ,KARL[hurdat_atl] = bal181980[atcf]
1980332S16214  ,               ,none      ,DIOLA[wellington] = DIOLA[neumann]
1981011S12185  ,               ,bsh091981 ,bsh091981[jtwc_sh] = ARTHUR[wellington] = UNNAMED[td9636] = ARTHUR[neumann]
1981022S13155  ,               ,bsh121981 ,bsh121981[jtwc_sh] = UNNAMED[td9636] = HSK1581[neumann]
1981030S17190  ,               ,bsh141981 ,bsh141981[jtwc_sh] = BETSY[wellington] = UNNAMED[td9636] = BETSY[neumann]
1981039S09178  ,               ,bsh151981 ,bsh151981[jtwc_sh] = CLIFF[bom] = CLIFF[wellington] = UNNAMED[td9636] = CLIFF[neumann]
1981047S18181  ,               ,none      ,CYC1981[wellington]
1981051S14181  ,               ,bsh181981 ,bsh181981[jtwc_sh] = DAMAN[wellington] = UNNAMED[td9636] = DAMAN[neumann]
1981054S12181  ,               ,none      ,CYC1981[wellington]
1981055S19120  ,               ,bsh191981 ,bsh191981[jtwc_sh] = NEIL[bom] = UNNAMED[td9636] = NEIL[neumann]
1981056S14141  ,               ,bsh201981 ,bsh201981[jtwc_sh] = FREDA[bom] = FREDA[wellington] = UNNAMED[td9636] = FREDA[neumann]
